type	x	y
2	0	0
3	20	0
1	40	0
1	60	0
1	80	0
2	100	0
3	120	0
2	140	0
1	160	0
3	180	0
1	200	0
1	220	0
3	240	0
1	260	0
1	280	0
1	300	0
1	320	0
1	340	0
3	360	0
3	380	0
2	400	0
2	420	0
2	440	0
2	460	0
1	480	0
3	500	0
2	520	0
1	540	0
2	560	0
3	580	0
1	600	0
1	620	0
2	640	0
2	660	0
3	680	0
2	700	0
2	720	0
1	0	60
3	20	60
1	40	60
3	60	60
2	80	60
3	100	60
3	120	60
2	140	60
3	160	60
3	180	60
1	200	60
1	220	60
1	240	60
2	260	60
3	280	60
3	300	60
3	320	60
2	340	60
3	360	60
3	380	60
2	400	60
1	420	60
1	440	60
3	460	60
2	480	60
1	500	60
1	520	60
2	540	60
2	560	60
1	580	60
2	600	60
2	620	60
2	640	60
2	660	60
2	680	60
2	700	60
2	720	60
1	0	120
3	20	120
2	40	120
2	60	120
3	80	120
1	100	120
1	120	120
2	140	120
2	160	120
1	180	120
2	200	120
3	220	120
2	240	120
2	260	120
1	280	120
2	300	120
3	320	120
3	340	120
3	360	120
1	380	120
3	400	120
1	420	120
3	440	120
1	460	120
1	480	120
2	500	120
2	520	120
3	540	120
1	560	120
3	580	120
2	600	120
1	620	120
1	640	120
2	660	120
2	680	120
2	700	120
3	720	120
1	0	180
3	20	180
3	40	180
2	60	180
1	80	180
1	100	180
2	120	180
1	140	180
1	160	180
3	180	180
2	200	180
3	220	180
1	240	180
2	260	180
3	280	180
2	300	180
2	320	180
1	340	180
3	360	180
3	380	180
3	400	180
2	420	180
3	440	180
2	460	180
2	480	180
3	500	180
2	520	180
2	540	180
3	560	180
3	580	180
1	600	180
1	620	180
2	640	180
3	660	180
3	680	180
1	700	180
1	720	180
1	0	240
1	20	240
3	40	240
1	60	240
1	80	240
1	100	240
3	120	240
2	140	240
1	160	240
3	180	240
3	200	240
1	220	240
1	240	240
2	260	240
1	280	240
2	300	240
2	320	240
1	340	240
1	360	240
1	380	240
3	400	240
3	420	240
2	440	240
3	460	240
3	480	240
3	500	240
2	520	240
2	540	240
3	560	240
2	580	240
2	600	240
1	620	240
1	640	240
3	660	240
2	680	240
3	700	240
1	720	240
3	0	300
1	20	300
2	40	300
2	60	300
3	80	300
1	100	300
3	120	300
2	140	300
1	160	300
1	180	300
2	200	300
3	220	300
2	240	300
2	260	300
1	280	300
1	300	300
2	320	300
3	340	300
3	360	300
3	380	300
2	400	300
1	420	300
3	440	300
3	460	300
3	480	300
1	500	300
1	520	300
1	540	300
1	560	300
2	580	300
1	600	300
2	620	300
2	640	300
2	660	300
2	680	300
2	700	300
2	720	300
1	0	360
2	20	360
2	40	360
2	60	360
2	80	360
3	100	360
3	120	360
2	140	360
2	160	360
2	180	360
2	200	360
2	220	360
1	240	360
1	260	360
1	280	360
1	300	360
2	320	360
3	340	360
1	360	360
1	380	360
1	400	360
3	420	360
1	440	360
3	460	360
3	480	360
2	500	360
1	520	360
3	540	360
3	560	360
2	580	360
3	600	360
3	620	360
1	640	360
3	660	360
2	680	360
2	700	360
3	720	360
3	0	420
2	20	420
2	40	420
1	60	420
1	80	420
3	100	420
2	120	420
2	140	420
1	160	420
3	180	420
3	200	420
3	220	420
2	240	420
2	260	420
2	280	420
2	300	420
2	320	420
1	340	420
2	360	420
3	380	420
1	400	420
2	420	420
3	440	420
3	460	420
3	480	420
3	500	420
2	520	420
3	540	420
3	560	420
1	580	420
2	600	420
2	620	420
2	640	420
3	660	420
2	680	420
3	700	420
3	720	420
1	0	480
3	20	480
1	40	480
3	60	480
1	80	480
1	100	480
1	120	480
2	140	480
1	160	480
3	180	480
3	200	480
1	220	480
1	240	480
2	260	480
2	280	480
1	300	480
2	320	480
1	340	480
2	360	480
1	380	480
1	400	480
2	420	480
2	440	480
2	460	480
1	480	480
1	500	480
3	520	480
1	540	480
1	560	480
2	580	480
2	600	480
3	620	480
3	640	480
1	660	480
3	680	480
1	700	480
2	720	480
